tweetID,label,tweetText,processed_tweet,processedTweet
1241075285421953024,False,"قبل ظهور وباء #فيروس_كورونا، تنبأت بعض الأعمال الفنية بظهور أوبئة مشابهة ووضع مصير العالم في خطر، أشهرها فيلم  ""Contagion"" عام 2011. https://t.co/r3frLwvG0K",ظهور وبا تنبت العمال الفنية بظهور وبة مشابهة ووضع مصير العالم خطر شهرها فيلم عام 2011,ظهور وبا تنبت العمال الفنية بظهور وبة مشابهة ووضع مصير العالم خطر شهرها فيلم عام 2011
1221790306854678528,False,"فيديو| #أمريكا تتنبأ بـ«#كورونا» منذ 9 سنوات والدليل «كونتيجن»
 https://t.co/VCpKHZoW4K https://t.co/sC1QaRzHeJ",فيديو تتنب بـ 9 سنوات والدليل كونتيجن,فيديو تتنب بـ 9 سنوات والدليل كونتيجن
1237777414870220800,False,"تحدث عن الصين والخفافيش.. فيلم «كونتيجن» تنبأ بـ«#كورونا» قبل 9 سنوات (فيديو)

https://t.co/7NOAg8DYNO https://t.co/Eu3v6JqPKH",تحدث الصين والخفافيش فيلم كونتيجن تنب بـ 9 سنوات فيديو,تحدث الصين والخفافيش فيلم كونتيجن تنب بـ 9 سنوات فيديو
1222232876760076290,False,"هذا الفيلم تنبأ بفيروس كورونا الجديد: والنهاية لم تكن سعيدة

أشار عشاق فيلم Contagion أو العدوى، الذي صدر عام 2011، إلى التشابه بين الفيلم وفيروس كورونا الجديد.
وفي تعليقاتهم على تويتر، كتبوا: كل شيء يبدو متشابها بشكل مرعب، الخفافيش كانت المصدر. الفيلم يحدث في العالم الحقيقي الآن https://t.co/P5NmIOaebS",الفيلم تنب بفيروس كورونا الجديد والنهاية تكن سعيدة شار عشاق فيلم العدوى صدر عام 2011 لى التشابه الفيلم وفيروس كورونا الجديد وفي تعليقاتهم تويتر كتبوا شي يبدو متشابها بشكل مرعب الخفافيش كانت المصدر الفيلم يحدث العالم الحقيقي الن,الفيلم تنب بفيروس كورونا الجديد والنهاية تكن سعيدة شار عشاق فيلم العدوى صدر عام 2011 لى التشابه الفيلم وفيروس كورونا الجديد وفي تعليقاتهم تويتر كتبوا شي يبدو متشابها بشكل مرعب الخفافيش كانت المصدر الفيلم يحدث العالم الحقيقي الن
1244312675007500297,False,"فيلم «عدوى ــ Contagion»، انتج عام 2011، وتنبأ بانتشار فيروس #Covid_19 يحكى الفيلم ما يحدث فى العالم بسبب فيروس #كورونا Contagion يوثق انتشار مرض معدٍ ومميت ينتقل عبر الخفافيش والخنازير ويهدد البشرية ويحتاج العالم، بعد انتشاره بالصين أيضا.👇
https://t.co/SI1SciyA72
#فيروس_كورونا",فيلم عدوى ــ انتج عام 2011 وتنب بانتشار فيروس يحكى الفيلم يحدث فى العالم بسبب فيروس يوثق انتشار مرض معد ومميت ينتقل عبر الخفافيش والخنازير ويهدد البشرية ويحتاج العالم انتشاره بالصين يضا,فيلم عدوى ــ انتج عام 2011 وتنب بانتشار فيروس يحكى الفيلم يحدث فى العالم بسبب فيروس يوثق انتشار مرض معد ومميت ينتقل عبر الخفافيش والخنازير ويهدد البشرية ويحتاج العالم انتشاره بالصين يضا
1237021449216495617,False,فيلم امريكي يتنبأ بمرض #كورنا من عشر سنوات بالاضافه للبلد #الصين_كورونا ومصدر المرض الخفافيش.. هي هذه صدفه ام حرب مدبره.. https://t.co/IpJcFZ10gP,فيلم امريكي يتنب بمرض سنوات بالاضافه للبلد ومصدر المرض الخفافيش صدفه ام حرب مدبره,فيلم امريكي يتنب بمرض سنوات بالاضافه للبلد ومصدر المرض الخفافيش صدفه ام حرب مدبره
1225922267953147909,False,"فيلم #Contagion إنتاج 2011
فيلم يتنبأ بفيروس #كورونا 
نفس الأعراض
 نفس مصدر الفيروس
موت الملايين https://t.co/DSBamgImJt",فيلم نتاج 2011 فيلم يتنب بفيروس العراض مصدر الفيروس موت الملايين,فيلم نتاج 2011 فيلم يتنب بفيروس العراض مصدر الفيروس موت الملايين
1226602878971846657,False,"فيلم ""العدوى"" #Contagion  عرض سنة 2011 هذا الفيلم تنبأ بمرض #كورونا قبل 9سنوات. https://t.co/nuofHguoSq",فيلم العدوى عرض سنة 2011 الفيلم تنب بمرض 9سنوات,فيلم العدوى عرض سنة 2011 الفيلم تنب بمرض 9سنوات
1228409143637291019,True,"الفيديو المتداول بعنوان «الصين بدأت بقتل المصابين بفيروس #كورونا» غير صحيح, والحقيقة أن الفيديو مفبرك وذلك عبر دمج  ثلاثة مقاطع مختلفة وإستخدام فيديو آخر للشرطة وهي تتعامل مع كلب مسعور.
https://t.co/6buJWYCqrQ https://t.co/6BfD8CWDcy",الفيديو المتداول بعنوان الصين بدت بقتل المصابين بفيروس صحيح والحقيقة الفيديو مفبرك وذلك عبر دمج مقاطع مختلفة وستخدام فيديو خر للشرطة وهي تتعامل كلب مسعور,الفيديو المتداول بعنوان الصين بدت بقتل المصابين بفيروس صحيح والحقيقة الفيديو مفبرك وذلك عبر دمج مقاطع مختلفة وستخدام فيديو خر للشرطة وهي تتعامل كلب مسعور
1227476392511713285,False,"مشاهد صادمة من #الصين ، تم إعدام عدة مصابين بإطلاق النار عليهم في الشوارع، لا يوجد أخبار مؤكدة عن حقيقة ما يجري سوى أن الحال أصبحت مزرية ويرثى لها
.
#فيروس_كورونا https://t.co/RPns9jbysQ",مشاهد صادمة تم عدام عدة مصابين بطلاق النار عليهم الشوارع يوجد خبار مكدة حقيقة يجري الحال صبحت مزرية ويرثى,مشاهد صادمة تم عدام عدة مصابين بطلاق النار عليهم الشوارع يوجد خبار مكدة حقيقة يجري الحال صبحت مزرية ويرثى
